cpu_percent,load_avg_1,load_avg_5,load_avg_15,gpu_util,gpu_mem_used,gpu_temp,gpu_power,mem_total,mem_available,mem_used,mem_percent,swap_total,swap_used,swap_percent,read_bytes,write_bytes,bytes_sent,bytes_recv,tcp_congestion_control,timestamp,tcp_congestion_encoded,workload_type,kernel_sched_latency_ns,kernel_sched_migration_cost_ns,vm_swappiness,vm_dirty_ratio,vm_dirty_expire_centisecs,tcp_rmem_min,tcp_rmem_default,tcp_rmem_max
11.6,2.0302734375,3.43798828125,4.29443359375,0.0,2.0,32.0,28.2,472735358976,419364450304,50193907712,11.3,0,0,0.0,64550543716352,215029810432512,133350086,284134454,cubic,2025-07-17 16:30:03,0,cpu_bound,6000000,500000,60,20,1000,4096,87380,6291456
10.7,2.0302734375,3.43798828125,4.29443359375,0.0,2.0,32.0,28.15,472735358976,419373895680,50184499200,11.3,0,0,0.0,64550543716352,215029811087872,133394503,284175889,cubic,2025-07-17 16:30:07,0,cpu_bound,6000000,500000,60,20,1000,4096,87380,6291456
10.1,2.1884765625,3.44775390625,4.29248046875,0.0,2.0,32.0,28.14,472735358976,419374497792,50183778304,11.3,0,0,0.0,64550543716352,215029811145216,133410527,284191333,cubic,2025-07-17 16:30:10,0,cpu_bound,6000000,500000,60,20,1000,4096,87380,6291456
13.3,2.1884765625,3.44775390625,4.29248046875,0.0,2.0,32.0,28.06,472735358976,419381133312,50177265664,11.3,0,0,0.0,64550543716352,215029811460608,133431889,284213243,cubic,2025-07-17 16:30:13,0,cpu_bound,6000000,500000,60,20,1000,4096,87380,6291456
9.9,2.333984375,3.45703125,4.29052734375,0.0,2.0,32.0,28.07,472735358976,419318341632,50239967232,11.3,0,0,0.0,64550543716352,215029811706368,133466135,284244053,cubic,2025-07-17 16:30:16,0,cpu_bound,10000000,5000000,30,10,500,4096,65536,4194304
10.3,2.3876953125,3.44921875,4.283203125,0.0,2.0,32.0,28.01,472735358976,419315044352,50243223552,11.3,0,0,0.0,64550543716352,215029811710464,133474828,284252316,cubic,2025-07-17 16:30:19,0,cpu_bound,10000000,5000000,30,10,500,4096,65536,4194304
6.1,2.3876953125,3.44921875,4.283203125,0.0,2.0,32.0,28.03,472735358976,419317223424,50241134592,11.3,0,0,0.0,64550543716352,215029811956224,133484649,284262193,cubic,2025-07-17 16:30:22,0,cpu_bound,10000000,5000000,30,10,500,4096,65536,4194304
5.1,2.3564453125,3.4248046875,4.2705078125,0.0,2.0,32.0,28.01,472735358976,419319205888,50239115264,11.3,0,0,0.0,64550543716352,215029811956224,133491005,284268535,cubic,2025-07-17 16:30:25,0,cpu_bound,10000000,5000000,30,10,500,4096,65536,4194304
6.0,2.408203125,3.41748046875,4.263671875,0.0,2.0,32.0,28.11,472735358976,419321192448,50237169664,11.3,0,0,0.0,64550543716352,215029812288000,133503372,284279864,cubic,2025-07-17 16:30:28,0,cpu_bound,20000000,10000000,10,5,300,16384,87380,16777216
14.5,2.408203125,3.41748046875,4.263671875,0.0,2.0,32.0,28.07,472735358976,419221848064,50336415744,11.3,0,0,0.0,64550546608128,215029812521472,133526754,284305722,cubic,2025-07-17 16:30:31,0,cpu_bound,20000000,10000000,10,5,300,16384,87380,16777216
