cpu_percent,load_avg_1,load_avg_5,load_avg_15,gpu_util,gpu_mem_used,gpu_temp,gpu_power,mem_total,mem_available,mem_used,mem_percent,swap_total,swap_used,swap_percent,read_bytes,write_bytes,bytes_sent,bytes_recv,tcp_congestion_control,timestamp,tcp_congestion_encoded,sched_latency_ns,sched_migration_cost_ns,sched_wakeup_granularity_ns,sched_min_granularity_ns,sched_child_runs_first,sched_autogroup_enabled,sched_rr_timeslice_ms,swappiness,dirty_ratio,dirty_background_ratio,dirty_expire_centisecs,dirty_writeback_centisecs,min_free_kbytes,overcommit_memory,overcommit_ratio,vfs_cache_pressure,somaxconn,tcp_fin_timeout,tcp_tw_reuse,tcp_syncookies,tcp_max_syn_backlog,tcp_rmem_min,tcp_rmem_default,tcp_rmem_max,tcp_wmem_min,tcp_wmem_default,tcp_wmem_max,workload_type,exec_time,cpu_avg,perf_score
9.0,3.3427734375,3.68505859375,3.34033203125,0.0,2.0,31.0,31.29,472735358976,447887114240,21655748608,5.3,0,0,0.0,64722917167104,215943339917824,126415075,113889208,cubic,2025-07-19 15:34:03,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,12.95,9.1,0.08
9.7,3.31494140625,3.67333984375,3.33837890625,0.0,2.0,31.0,31.32,472735358976,447902519296,21640343552,5.3,0,0,0.0,64722917167104,215943340306944,126423697,113896922,cubic,2025-07-19 15:34:07,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,12.95,9.1,0.08
8.6,3.20947265625,3.6455078125,3.3310546875,0.0,2.0,31.0,31.33,472735358976,447907438592,21635424256,5.3,0,0,0.0,64722917167104,215943340671488,126454909,113926972,cubic,2025-07-19 15:34:11,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,12.95,9.1,0.08
7.6,3.1123046875,3.6181640625,3.32373046875,0.0,2.0,31.0,31.3,472735358976,447888830464,21654032384,5.3,0,0,0.0,64722935861248,215943372612096,126501572,113969047,cubic,2025-07-19 15:34:17,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,12.75,8.9,0.08
9.8,3.10302734375,3.607421875,3.32177734375,0.0,2.0,31.0,31.29,472735358976,447886577664,21656285184,5.3,0,0,0.0,64722935861248,215943372968448,126512849,113979070,cubic,2025-07-19 15:34:21,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,12.75,8.9,0.08
9.3,3.0146484375,3.58056640625,3.314453125,0.0,2.0,31.0,31.3,472735358976,447889666048,21653192704,5.3,0,0,0.0,64722935861248,215943373062656,126523853,113989094,cubic,2025-07-19 15:34:25,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,12.75,8.9,0.08
2.6,2.85302734375,3.53759765625,3.3017578125,0.0,2.0,31.0,31.35,472735358976,447894401024,21648457728,5.3,0,0,0.0,64722935861248,215943374025216,126558628,114021915,cubic,2025-07-19 15:34:31,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.56,5.0,0.06
2.8,2.70458984375,3.4951171875,3.2890625,0.0,2.0,31.0,31.35,472735358976,447898607616,21644255232,5.3,0,0,0.0,64722935861248,215943374549504,126569991,114032186,cubic,2025-07-19 15:34:36,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.56,5.0,0.06
9.6,2.56787109375,3.45361328125,3.2763671875,0.0,2.0,31.0,31.38,472735358976,447894970368,21647892480,5.3,0,0,0.0,64722935861248,215943374574080,126579460,114040757,cubic,2025-07-19 15:34:40,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.56,5.0,0.06
10.1,6.3662109375,4.2265625,3.52734375,0.0,2.0,31.0,31.32,472735358976,447918129152,21624725504,5.2,0,0,0.0,64722935861248,215943375565312,126606502,114063925,cubic,2025-07-19 15:34:46,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.4,9.63,0.08
