cpu_percent,load_avg_1,load_avg_5,load_avg_15,gpu_util,gpu_mem_used,gpu_temp,gpu_power,mem_total,mem_available,mem_used,mem_percent,swap_total,swap_used,swap_percent,read_bytes,write_bytes,bytes_sent,bytes_recv,tcp_congestion_control,timestamp,tcp_congestion_encoded,workload_type
19.6,3.8447265625,4.02783203125,4.4541015625,0.0,2.0,33.0,27.41,472735358976,446105305088,23495041024,5.6,0,0,0.0,64352091471872,212973272545792,24002118,20325221,cubic,2025-07-12 23:12:56,0,cpu_bound
21.1,4.09765625,4.07763671875,4.46826171875,0.0,2.0,33.0,27.42,472735358976,446063763456,23536484352,5.6,0,0,0.0,64352153280512,212973807733248,24010868,20333415,cubic,2025-07-12 23:12:59,0,cpu_bound
17.7,4.25,4.10986328125,4.4765625,0.0,2.0,33.0,27.43,472735358976,445818077184,23783362560,5.7,0,0,0.0,64352194842624,212973808474624,24019642,20341145,cubic,2025-07-12 23:13:03,0,cpu_bound
18.4,4.25,4.10986328125,4.4765625,0.0,2.0,33.0,27.45,472735358976,445827153920,23774318592,5.7,0,0,0.0,64352194842624,212974205041152,24046999,20367094,cubic,2025-07-12 23:13:06,0,cpu_bound
11.2,4.22998046875,4.10791015625,4.4736328125,0.0,2.0,33.0,27.6,472735358976,445831020544,23770456064,5.7,0,0,0.0,64352194908160,212974233840128,24069088,20386983,cubic,2025-07-12 23:13:09,0,io_bound
9.9,4.22998046875,4.10791015625,4.4736328125,0.0,2.0,33.0,27.55,472735358976,445830713344,23770759168,5.7,0,0,0.0,64352194908160,212974956440064,24097734,20413897,cubic,2025-07-12 23:13:12,0,io_bound
11.7,4.05126953125,4.07275390625,4.4599609375,0.0,2.0,33.0,27.41,472735358976,445828304896,23773175808,5.7,0,0,0.0,64352194908160,212974973905408,24102309,20417938,cubic,2025-07-12 23:13:15,0,io_bound
10.1,3.966796875,4.0546875,4.45166015625,0.0,2.0,33.0,27.39,472735358976,445826109440,23775117312,5.7,0,0,0.0,64352194908160,212975624645120,24113731,20428334,cubic,2025-07-12 23:13:18,0,io_bound
14.2,3.966796875,4.0546875,4.45166015625,0.0,2.0,33.0,27.36,472735358976,445135372288,24465346560,5.8,0,0,0.0,64352194908160,212975984757248,24133092,20445989,cubic,2025-07-12 23:13:21,0,memory_bound
12.4,4.0498046875,4.07080078125,4.455078125,0.0,2.0,33.0,27.45,472735358976,444098150400,25503195136,6.1,0,0,0.0,64352194908160,212976731253248,24140582,20452921,cubic,2025-07-12 23:13:24,0,memory_bound
11.6,4.1259765625,4.08642578125,4.4580078125,0.0,2.0,33.0,27.59,472735358976,444750204928,24851214336,5.9,0,0,0.0,64352194908160,212977154427392,24150499,20462062,cubic,2025-07-12 23:13:27,0,memory_bound
12.5,4.1259765625,4.08642578125,4.4580078125,0.0,2.0,33.0,27.44,472735358976,445818556416,23782535168,5.7,0,0,0.0,64352194908160,212977558022656,24174425,20485118,cubic,2025-07-12 23:13:30,0,memory_bound
24.5,4.8369140625,4.23486328125,4.50390625,0.0,2.0,33.0,27.5,472735358976,444787560448,24813379584,5.9,0,0,0.0,64352194908160,212977911323136,24185820,20495429,cubic,2025-07-12 23:13:33,0,mixed
23.8,4.8369140625,4.23486328125,4.50390625,0.0,2.0,33.0,27.47,472735358976,444167815168,25432907776,6.0,0,0,0.0,64352194908160,212978069735936,24198600,20507335,cubic,2025-07-12 23:13:36,0,mixed
24.9,5.25048828125,4.3310546875,4.53369140625,0.0,2.0,33.0,27.45,472735358976,444678303744,24923136000,5.9,0,0,0.0,64352194908160,212978452793856,24214428,20522435,cubic,2025-07-12 23:13:39,0,mixed
23.4,5.7109375,4.44189453125,4.56884765625,0.0,2.0,33.0,27.49,472735358976,445803937792,23797272576,5.7,0,0,0.0,64352195198976,212979743013376,24245639,20552964,cubic,2025-07-12 23:13:42,0,mixed
