cpu_percent,load_avg_1,load_avg_5,load_avg_15,gpu_util,gpu_mem_used,gpu_temp,gpu_power,mem_total,mem_available,mem_used,mem_percent,swap_total,swap_used,swap_percent,read_bytes,write_bytes,bytes_sent,bytes_recv,tcp_congestion_control,timestamp,tcp_congestion_encoded,workload_type
6.6,2.744140625,3.1376953125,3.16357421875,0.0,2.0,37.0,27.88,472735358976,446233882624,23311826944,5.6,0,0,0.0,64013034614784,211007751931904,36019126,114713071,cubic,2025-07-05 12:54:44,0,mixed
7.9,2.60400390625,3.10205078125,3.15185546875,0.0,2.0,37.0,28.06,472735358976,446223355904,23322349568,5.6,0,0,0.0,64013034614784,211007752345600,36043596,114735771,cubic,2025-07-05 12:54:50,0,mixed
6.5,2.47509765625,3.06689453125,3.14013671875,0.0,2.0,37.0,28.1,472735358976,446226546688,23319171072,5.6,0,0,0.0,64013034614784,211007753107456,36059849,114750252,cubic,2025-07-05 12:54:56,0,mixed
6.1,2.35693359375,3.0322265625,3.12841796875,0.0,2.0,37.0,27.95,472735358976,446201171968,23344545792,5.6,0,0,0.0,64013034614784,211007754741760,36073934,114762905,cubic,2025-07-05 12:55:02,0,mixed
1.4,2.248046875,2.998046875,3.11669921875,0.0,2.0,37.0,28.01,472735358976,446217469952,23328247808,5.6,0,0,0.0,64013034614784,211007755356160,36088033,114775580,cubic,2025-07-05 12:55:08,0,mixed
0.8,1.98193359375,2.91552734375,3.087890625,0.0,2.0,37.0,28.0,472735358976,446227435520,23318274048,5.6,0,0,0.0,64013034614784,211007755999232,36107927,114793858,cubic,2025-07-05 12:55:14,0,memory_bound
6.3,1.9833984375,2.89990234375,3.08203125,0.0,2.0,37.0,27.89,472735358976,446253666304,23292051456,5.6,0,0,0.0,64013034614784,211007756683264,36127563,114811722,cubic,2025-07-05 12:55:21,0,mixed
7.0,1.98486328125,2.884765625,3.076171875,0.0,2.0,37.0,27.9,472735358976,446253363200,23292354560,5.6,0,0,0.0,64013034614784,211007757314048,36144138,114826651,cubic,2025-07-05 12:55:27,0,mixed
6.8,1.90576171875,2.85302734375,3.06494140625,0.0,2.0,37.0,27.93,472735358976,446256390144,23289327616,5.6,0,0,0.0,64013034614784,211007757985792,36165512,114846351,cubic,2025-07-05 12:55:33,0,mixed
6.4,1.76611328125,2.79150390625,3.04248046875,0.0,2.0,37.0,27.99,472735358976,446255775744,23289942016,5.6,0,0,0.0,64013034614784,211007758481408,36179639,114859046,cubic,2025-07-05 12:55:39,0,mixed
7.8,1.70458984375,2.76171875,3.03125,0.0,2.0,37.0,27.94,472735358976,446254481408,23291236352,5.6,0,0,0.0,64013034614784,211007759030272,36195502,114873639,cubic,2025-07-05 12:55:45,0,mixed
7.0,1.728515625,2.7490234375,3.025390625,0.0,2.0,37.0,28.0,472735358976,446248194048,23297523712,5.6,0,0,0.0,64013034614784,211007759882240,36211693,114888050,cubic,2025-07-05 12:55:51,0,mixed
1.3,1.669921875,2.7197265625,3.01416015625,0.0,2.0,37.0,28.14,472735358976,446235725824,23309983744,5.6,0,0,0.0,64013034614784,211007760340992,36227299,114902046,cubic,2025-07-05 12:55:57,0,memory_bound
